date,product_category,sales_amount,units_sold,customer_region,profit_margin
2024-01-01,Electronics,1250.99,5,North,15.5
2024-01-01,Clothing,750.50,10,South,22.3
2024-01-02,Electronics,2100.75,8,East,18.2
2024-01-02,Books,450.25,15,West,25.1
2024-01-03,Clothing,1500.00,20,North,20.0
2024-01-03,Electronics,3200.50,12,South,16.8
2024-01-04,Books,680.75,25,East,24.5
2024-01-04,Electronics,1850.25,7,West,17.9
2024-01-05,Clothing,950.50,12,North,21.4
2024-01-05,Books,525.75,18,South,23.7
2024-01-06,Electronics,2750.25,10,East,19.2
2024-01-06,Clothing,1150.00,15,West,20.8
2024-01-07,Books,475.50,20,North,25.5
2024-01-07,Electronics,1950.75,8,South,16.4
2024-01-08,Clothing,850.25,11,East,22.1
2024-01-08,Books,600.50,22,West,24.3
2024-01-09,Electronics,2250.75,9,North,18.7
2024-01-09,Clothing,1300.25,16,South,21.6
2024-01-10,Books,550.00,19,East,23.9
2024-01-10,Electronics,2850.50,11,West,17.5
